eatery_id,name,location,operating_hours
1,Stevenson-Pope,"55810 Hunter Ferry, Michaelport, FM 84198",10 AM - 9 PM
2,Payne-Perez,"135 Berry Roads Apt. 851, Georgemouth, UT 09357",9 AM - 7 PM
3,Leon-Bolton,"425 Tammy Manors, Brownfurt, MH 02749",8 AM - 7 PM
4,Garcia Inc,"93333 Sarah Mission Suite 529, North Steven, NC 42958",9 AM - 8 PM
5,Fowler and Sons,"6351 Tiffany Walk Apt. 407, Allisonfort, ID 02241",7 AM - 7 PM
6,Smith Inc,"9164 Simpson Spurs, North Colleenchester, PW 88267",10 AM - 8 PM
7,"Tran, Sims and Smith","6958 Payne Land Apt. 600, New Carl, ID 36037",6 AM - 8 PM
8,Montes-Franklin,"279 Larson Well Apt. 272, North Shelby, MO 22372",7 AM - 8 PM
9,Torres LLC,"8582 Brown Field Suite 475, Wolfeberg, NH 15418",10 AM - 10 PM
10,"Kim, Baird and Marsh","04607 Jessica Manor, South Earlborough, MO 54592",9 AM - 11 PM
11,Powell-Patel,"345 Burke Park Apt. 680, Lake Davidshire, IN 94291",10 AM - 7 PM
12,"Berry, Castro and King","17703 Murphy Overpass, Donaldsontown, MH 46772",9 AM - 11 PM
13,Morgan-Forbes,"USCGC Lopez, FPO AE 92587",9 AM - 10 PM
14,Taylor Group,"638 Curry Avenue Suite 869, South Jamesburgh, CO 88404",8 AM - 9 PM
15,Boyle PLC,"0583 Parker Rue Apt. 679, East Jill, NJ 90555",8 AM - 8 PM
16,Reed-Moore,"44896 Lori Hills Suite 436, Heatherbury, NY 53504",6 AM - 8 PM
17,Moss Group,"1414 Watkins Orchard, Lake Donna, OR 08562",9 AM - 9 PM
18,"Lambert, Mccoy and Cole","60449 Cohen Cove Suite 206, Anthonyberg, MA 94426",6 AM - 8 PM
19,Delgado-Brown,"6143 Winters Freeway, Halechester, FL 73388",8 AM - 10 PM
20,Foster Group,"783 Kelley Square Suite 360, Lisabury, AR 90377",9 AM - 7 PM
21,Orozco and Sons,"USNV Hodges, FPO AE 64301",8 AM - 9 PM
22,Medina-Burns,"PSC 0868, Box 6616, APO AP 38800",10 AM - 8 PM
23,"Johnson, Bridges and Cabrera","PSC 0364, Box 1832, APO AE 53460",7 AM - 7 PM
24,Rose Ltd,"053 Brooke Forge Apt. 477, New Joseph, CA 52803",7 AM - 9 PM
25,Williams Group,"7810 Tony Tunnel Apt. 033, New David, FL 35320",8 AM - 11 PM
26,"Wallace, Wolfe and Hill","85975 Tony Mill Apt. 961, Hansenside, ME 27346",10 AM - 10 PM
27,Miranda-Larson,"84115 Adam Manor Suite 943, Brittanyburgh, NH 80820",6 AM - 9 PM
28,"Odom, Parsons and Rogers","58858 Perkins Brook Apt. 547, New Kevinfort, VA 63262",9 AM - 8 PM
29,Crawford Ltd,"197 Russell Ways Suite 029, Annfort, RI 39851",9 AM - 7 PM
30,"Jackson, Andrews and Bailey","8982 Dalton Crossing, Morrisonville, CA 35886",7 AM - 8 PM
31,"Hunter, Jackson and Thompson","5326 Taylor Neck, West Mark, OK 18816",9 AM - 10 PM
32,Torres-Martin,"50626 Collins Extensions, Edwardchester, PA 19564",9 AM - 11 PM
33,"Smith, Kelly and Ramos","9369 Sean Bypass, South Amymouth, KS 60642",7 AM - 9 PM
34,Chambers-Ellis,"76176 Russell Motorway Apt. 685, North Crystalton, TN 74863",8 AM - 11 PM
35,Gilbert LLC,"24196 Best Field, South Patrick, RI 95701",6 AM - 9 PM
36,Hayes Ltd,"126 Cantrell Plains Apt. 499, South Sydneyberg, WV 80380",7 AM - 8 PM
37,"Parker, Barnes and Patterson","923 Jones Ramp, North Samueltown, MP 64792",8 AM - 9 PM
38,Ruiz-Schmidt,"9977 Gentry Fort, South Nicholas, RI 44734",8 AM - 9 PM
39,"Jones, Carroll and White","950 Anderson Rapid, Wilsonhaven, RI 09109",10 AM - 7 PM
40,Patton-Jones,"USNS Carroll, FPO AA 88422",7 AM - 8 PM
41,"Lee, Jones and Green","24229 Frye Gardens Suite 116, Cindystad, MT 84490",6 AM - 7 PM
42,"Ortiz, Lowe and Olsen","96303 Davis Green Apt. 669, West Terri, NM 59189",7 AM - 10 PM
43,"Murray, Roberts and George","63009 Scott Island, Sloanbury, MA 49736",9 AM - 9 PM
44,"Cole, Johnson and Barnes","73293 Whitney Route Apt. 230, East Matthew, WV 94905",8 AM - 8 PM
45,"Thompson, Powell and Lamb","64027 Ian Bypass, Ryanmouth, LA 40214",8 AM - 11 PM
46,"Graham, Jordan and Richardson","31297 Mckenzie Summit, South Laurachester, AK 75971",7 AM - 9 PM
47,Bishop-Orr,"747 Cole Valley Suite 311, Erintown, LA 17408",7 AM - 10 PM
48,"Rush, Barnett and Lewis","2506 Kyle Route, Lake Stephaniefurt, NJ 07112",9 AM - 7 PM
49,Gaines-White,"4652 Cassidy Squares, Heiditown, NY 48029",8 AM - 9 PM
50,Parker-Hood,"094 David Junctions, Lake Samantha, NC 79357",8 AM - 10 PM
51,Morton-Robles,"40676 Wheeler Valley, Teresamouth, AS 93170",6 AM - 8 PM
52,"Gray, Gonzalez and Williams","061 Karen Fields Apt. 322, West Jasonchester, VI 06274",9 AM - 11 PM
53,Powers PLC,"1116 Ana Stravenue, South Natashamouth, PA 46563",9 AM - 7 PM
54,"Price, Hall and Prince","92188 Lynch Motorway, Thomasfurt, OH 98073",8 AM - 9 PM
55,Shaffer LLC,"125 Joseph Avenue Suite 586, East Robinhaven, RI 70563",6 AM - 8 PM
56,Gilbert and Sons,"31943 Martin Gateway, Wardville, CT 03442",6 AM - 8 PM
57,Nichols-Thompson,"965 Jason Valley Suite 366, Davisville, KY 58799",8 AM - 11 PM
58,"Martin, Kelly and Potter","150 Paul Path Apt. 630, Lake Davidberg, MT 50764",9 AM - 10 PM
59,"Meza, Wilson and Mayer","3613 Kara River, Diazmouth, AK 06374",8 AM - 11 PM
60,Brown LLC,"095 Cantu Stream, North Oliviatown, MI 76118",10 AM - 7 PM
61,Gomez-Moss,"8812 Clark Motorway, Millermouth, AK 23131",10 AM - 7 PM
62,Campbell-Montes,"3184 Williams Field Apt. 750, Port Julie, MN 40197",10 AM - 7 PM
63,Sellers LLC,"573 Santiago Coves, Christopherstad, NJ 47697",9 AM - 7 PM
64,Hill Ltd,"Unit 6775 Box 1116, DPO AE 70369",6 AM - 7 PM
65,"Kline, Ramos and Shepherd","77360 Theresa Orchard, Patriciaburgh, IN 85909",9 AM - 7 PM
66,Harrison LLC,"9025 Christopher Island Apt. 345, New Kyle, VI 27050",6 AM - 11 PM
67,"Howard, Mendoza and Skinner","6762 Edwards Mission, West Melissa, KS 25044",7 AM - 7 PM
68,"Zimmerman, Allen and Reeves","3710 Nicole Inlet Suite 902, Porterfurt, GU 02368",8 AM - 11 PM
69,Diaz LLC,"829 Meyer Pike, Sheilastad, PA 81163",8 AM - 9 PM
70,Kim-Moore,"022 Hensley Alley, Danielview, ID 48052",7 AM - 7 PM
71,Patton-Johnson,"57123 Jesse Common, East Jonathanshire, WV 56849",6 AM - 9 PM
72,Jones Ltd,"637 Thompson Junctions Apt. 209, West Robinport, PW 80717",8 AM - 11 PM
73,"Richard, Grant and Chandler","019 Garcia Vista, Port Jennahaven, OH 03107",8 AM - 9 PM
74,George Inc,"334 Kyle Fields Suite 752, East Jeffrey, MN 43494",10 AM - 8 PM
75,Mccormick LLC,"02439 Mark Plains, Hamptonburgh, WI 49114",8 AM - 11 PM
76,Sanchez-Romero,"27481 Brittany Plaza Suite 645, South Daniel, DE 34396",6 AM - 11 PM
77,Sanders-Pittman,"1491 Jeremy Brooks, Dawnchester, MP 92986",9 AM - 11 PM
78,Carlson-James,"5618 Dyer Causeway Suite 021, Port Andrew, NM 11695",7 AM - 11 PM
79,"Cole, Farrell and Santiago","4589 Cruz Point Suite 060, Port Shelly, MD 35396",8 AM - 11 PM
80,Monroe PLC,"23553 Andre Turnpike, Thomasfort, KS 36767",6 AM - 8 PM
81,Johnson-Dawson,"PSC 9019, Box 2243, APO AA 11025",9 AM - 7 PM
82,Davis-Frey,"872 Stevenson Pines, Fosterview, WV 93392",10 AM - 11 PM
83,Thomas Group,"83081 Carl Crossroad, New Bryan, ME 94036",9 AM - 9 PM
