menu_id,eatery_id,item_name,price
1,2265,Pretty Meal,25.20
2,259,Material Meal,29.64
3,2976,Mind Meal,12.78
4,62,Put Meal,29.59
5,137,First Meal,15.09
6,2394,Knowledge Meal,8.10
7,440,Current Meal,11.09
8,1278,Admit Meal,18.50
9,1062,Treat Meal,24.94
10,2769,Put Meal,16.63
11,1680,Level Meal,25.51
12,1498,Road Meal,26.75
13,272,Sometimes Meal,15.29
14,1594,Minute Meal,13.91
15,2474,Fill Meal,6.20
16,119,Outside Meal,27.41
17,902,Order Meal,24.70
18,1543,Cause Meal,13.80
19,1643,Shake Meal,20.61
20,2826,Agency Meal,24.50
21,213,Represent Meal,20.35
22,2485,Treatment Meal,14.87
23,1886,Mind Meal,23.58
24,1893,End Meal,11.15
25,889,Worry Meal,5.12
26,2134,At Meal,11.93
27,1821,Anything Meal,20.82
28,2786,Try Meal,14.15
29,702,Test Meal,22.78
30,402,Medical Meal,23.54
31,1489,I Meal,25.61
32,900,Thought Meal,28.18
33,1885,Office Meal,25.12
34,2047,Compare Meal,11.33
35,2529,By Meal,16.38
36,2841,Do Meal,13.01
37,1594,Design Meal,17.50
38,2043,Leader Meal,20.87
39,666,In Meal,13.45
40,1268,Indicate Meal,10.74
41,879,Couple Meal,27.00
42,2808,Just Meal,15.26
43,1476,Imagine Meal,7.09
44,2777,Memory Meal,20.67
45,751,Agency Meal,7.12
46,2949,Discover Meal,12.51
47,1644,Want Meal,5.27
48,673,Break Meal,18.07
49,649,Inside Meal,16.43
50,397,Fact Meal,13.47
51,2012,Leader Meal,22.65
52,109,Executive Meal,19.06
53,1815,Reveal Meal,22.92
54,1600,Direction Meal,26.83
55,1449,Actually Meal,27.03
56,1816,Physical Meal,9.48
57,656,Kitchen Meal,20.99
58,821,Blue Meal,12.75
59,1111,Them Meal,12.44
60,12,Activity Meal,28.90
61,1010,Nor Meal,14.57
62,1562,Themselves Meal,27.66
63,339,Inside Meal,22.98
64,1139,Debate Meal,19.63
65,521,Director Meal,19.49
66,1841,Executive Meal,28.01
67,2050,Focus Meal,28.45
68,465,According Meal,12.40
69,2856,Create Meal,7.72
70,895,Memory Meal,17.05
71,2092,Shoulder Meal,5.61
72,1845,Not Meal,7.17
73,1624,Color Meal,16.27
74,1400,East Meal,29.12
75,539,Pay Meal,14.41
76,1830,I Meal,27.47
77,706,Market Meal,26.66
78,2779,Voice Meal,29.91
79,2939,Less Meal,23.30
80,2203,Send Meal,16.71
81,1507,Both Meal,29.09
82,699,Bank Meal,26.93
83,1878,Dark Meal,21.86
84,1084,Off Meal,11.97
85,1870,Recently Meal,14.28
86,793,Safe Meal,15.70
87,1597,Dream Meal,18.22
88,2688,Pull Meal,9.99
89,2740,Trial Meal,17.73
90,986,Tell Meal,8.95
91,2656,Future Meal,8.18
92,231,Sell Meal,27.71
93,310,Behavior Meal,23.28
94,2674,Employee Meal,23.70
95,1721,Who Meal,26.27
96,2706,May Meal,13.37
97,2748,Result Meal,9.10
98,703,People Meal,9.48
99,99,Product Meal,18.64
100,2317,Away Meal,13.12
101,2699,Partner Meal,11.16
102,544,Available Meal,20.22
103,2975,Maintain Meal,19.11
104,2118,Agree Meal,18.40
105,1419,Buy Meal,14.17
106,1696,Base Meal,16.07
107,1830,Paper Meal,18.97
108,771,Piece Meal,16.39
109,2754,Discover Meal,21.35
110,1128,Animal Meal,26.79
111,2516,Shoulder Meal,28.03
112,185,Food Meal,8.26
113,2271,Quickly Meal,18.61
114,2943,Rich Meal,27.35
115,1679,Way Meal,8.52
116,2804,End Meal,12.70
117,956,Five Meal,22.39
118,2543,Amount Meal,21.55
119,1242,Cup Meal,16.30
120,258,No Meal,12.85
121,714,Subject Meal,18.84
122,753,Set Meal,11.45
123,1992,Decade Meal,27.79
124,1961,Mention Meal,26.11
125,556,Green Meal,14.86
126,615,Total Meal,29.64
127,117,American Meal,18.96
128,2942,Less Meal,28.87
129,2445,Either Meal,23.37
130,1013,Prevent Meal,10.07
131,2782,Pressure Meal,14.18
132,2570,Than Meal,27.12
133,1196,History Meal,28.78
134,1388,And Meal,7.88
135,1915,Picture Meal,11.72
136,1884,Discuss Meal,25.67
137,621,Relate Meal,25.70
138,410,Tonight Meal,21.02
139,1090,Best Meal,9.28
140,2352,Just Meal,19.76
141,1704,Plant Meal,10.36
142,164,Night Meal,26.25
143,926,Walk Meal,29.94
144,2002,Factor Meal,7.86
145,345,Pretty Meal,6.52
146,155,Energy Meal,22.54
147,2914,Event Meal,12.90
148,1387,Network Meal,9.58
149,1442,Memory Meal,29.14
150,446,Onto Meal,28.71
151,2555,Voice Meal,21.61
152,262,Seek Meal,18.18
153,631,Economic Meal,22.31
154,266,Worry Meal,14.52
155,153,Example Meal,29.70
156,2560,Carry Meal,26.59
157,1991,I Meal,9.01
158,1374,Very Meal,22.01
159,1859,Media Meal,17.53
160,1707,Recognize Meal,27.61
161,410,Environment Meal,27.30
162,901,Board Meal,12.83
163,1968,Speak Meal,19.34
164,205,Hotel Meal,24.39
165,2262,Visit Meal,18.04
166,257,Accept Meal,15.18
167,2832,Option Meal,29.63
168,2834,Bank Meal,25.23
169,1349,Campaign Meal,5.76
170,902,Care Meal,14.84
171,2398,Perhaps Meal,14.89
172,1370,Family Meal,13.95
173,529,School Meal,7.41
174,320,Down Meal,14.77
175,804,Above Meal,13.97
176,4,Two Meal,15.16
177,2696,Energy Meal,8.58
178,598,Lose Meal,7.03
179,1533,Hold Meal,26.71
180,194,Appear Meal,18.68
181,2333,Reason Meal,20.35
182,435,When Meal,17.40
183,2489,Play Meal,10.40
184,1961,Step Meal,27.78
185,2619,Police Meal,26.58
186,613,Method Meal,17.30
187,1926,Board Meal,22.15
188,222,Student Meal,8.53
189,2448,Hard Meal,16.57
190,2127,Answer Meal,16.71
191,1591,Attack Meal,12.96
192,688,Step Meal,25.09
193,1994,Live Meal,25.91
194,312,Education Meal,12.57
195,177,Common Meal,25.40
196,1571,Speak Meal,28.49
197,403,Reflect Meal,19.04
198,376,School Meal,15.00
199,2001,Sort Meal,29.04
200,402,Part Meal,12.74
201,195,Blue Meal,15.60
202,2086,Charge Meal,10.22
203,166,Central Meal,16.92
204,1283,Although Meal,20.83
205,634,Boy Meal,22.95
206,422,Per Meal,5.60
207,1012,Southern Meal,7.56
208,1999,Coach Meal,8.27
209,1684,Purpose Meal,20.08
210,1627,Training Meal,23.46
211,1103,List Meal,18.48
212,318,South Meal,5.42
213,1376,Kind Meal,15.94
214,535,Keep Meal,10.33
215,1274,Stuff Meal,8.37
216,566,Place Meal,12.14
217,165,Statement Meal,24.25
218,169,Whom Meal,15.83
219,1757,Kitchen Meal,15.13
220,2134,Entire Meal,26.59
221,400,Front Meal,19.78
222,1834,Sit Meal,24.80
223,2388,Different Meal,25.05
224,824,Agreement Meal,5.70
225,422,Lay Meal,11.24
226,1277,Assume Meal,17.13
227,588,Behind Meal,15.06
228,905,Reality Meal,7.18
229,159,Thousand Meal,22.42
230,2711,Role Meal,25.41
231,1208,Interview Meal,22.76
232,2687,Something Meal,18.60
233,1135,Almost Meal,9.64
234,2181,Leader Meal,5.93
235,1017,Audience Meal,20.70
236,404,Spend Meal,9.29
237,1936,Commercial Meal,25.12
238,79,Young Meal,15.61
239,600,Before Meal,13.30
240,242,Economy Meal,22.92
241,1015,House Meal,6.24
242,2067,Sing Meal,16.61
243,1311,Floor Meal,26.98
244,1066,Trip Meal,22.18
245,823,Whom Meal,23.65
246,1348,Rate Meal,22.85
247,1875,Southern Meal,7.81
248,2807,Memory Meal,25.26
249,2285,Believe Meal,6.41
250,349,Break Meal,11.92
251,1265,Laugh Meal,5.71
252,1731,Place Meal,28.73
253,2948,Present Meal,11.94
254,661,Seven Meal,29.59
255,2849,Wear Meal,24.13
256,1663,Case Meal,22.50
257,534,Probably Meal,10.16
258,1739,May Meal,11.66
259,1926,Other Meal,10.36
260,2922,Whatever Meal,6.69
261,1618,Yard Meal,6.71
262,958,Network Meal,16.73
263,2837,Answer Meal,22.59
264,2451,Here Meal,12.70
265,2997,Town Meal,9.98
266,2250,Family Meal,11.26
267,1909,Produce Meal,5.49
268,2737,Individual Meal,17.91
269,1225,Evidence Meal,29.11
270,1057,Blood Meal,5.98
271,1648,Number Meal,7.68
272,1111,Type Meal,16.96
273,2462,Company Meal,13.42
274,2270,Player Meal,5.87
275,272,Five Meal,26.88
276,44,Accept Meal,23.50
277,2793,Success Meal,14.16
278,2849,Care Meal,5.77
279,301,Officer Meal,15.84
280,1992,Pressure Meal,23.19
281,2430,Program Meal,10.04
282,2879,Model Meal,18.77
283,2323,Outside Meal,29.57
284,2451,Area Meal,21.39
285,1517,Still Meal,23.55
286,124,Each Meal,6.63
287,572,Far Meal,23.90
288,1819,Strategy Meal,26.06
289,1668,Rise Meal,25.40
290,706,Career Meal,11.04
291,2300,Indicate Meal,28.10
292,155,Ask Meal,8.00
293,481,Recognize Meal,19.01
294,1773,Goal Meal,21.04
295,2699,Coach Meal,12.83
296,932,Wrong Meal,28.52
297,2508,Sense Meal,6.81
298,739,Others Meal,26.94
299,1002,Bad Meal,24.73
300,1543,Scientist Meal,13.11
