order_id,student_id,eatery_id,order_time,delivery_status
1,1310,660,2025-01-14 22:49:30,Pending
2,1548,1744,2025-03-07 17:57:53,Out for Delivery
3,2504,493,2025-01-21 01:37:26,Delivered
4,641,1307,2025-03-08 05:38:35,Out for Delivery
5,2274,290,2025-03-15 09:38:08,Pending
6,2831,1654,2025-02-16 19:35:51,Out for Delivery
7,2909,810,2025-02-05 13:00:20,Out for Delivery
8,206,339,2025-01-17 14:51:00,Pending
9,2717,1070,2025-02-22 16:39:17,Pending
10,2908,1551,2025-02-02 23:02:08,Delivered
11,2654,1014,2025-03-12 19:35:20,Pending
12,1692,1775,2025-03-10 17:46:03,Delivered
13,1340,1562,2025-03-01 15:05:46,Preparing
14,2962,1762,2025-01-13 23:01:11,Pending
15,680,1301,2025-01-12 14:30:38,Preparing
16,1487,2031,2025-01-08 09:20:34,Pending
17,1461,1694,2025-02-18 15:32:37,Preparing
18,818,2468,2025-02-17 10:56:57,Pending
19,2817,1321,2025-01-19 09:00:25,Delivered
20,585,955,2025-02-14 07:31:10,Pending
21,601,645,2025-01-20 03:59:31,Preparing
22,767,2645,2025-01-04 22:31:07,Delivered
23,2479,1790,2025-01-09 09:54:09,Out for Delivery
24,2563,2854,2025-02-16 00:06:22,Preparing
25,389,1452,2025-01-18 21:11:33,Preparing
26,1763,2961,2025-01-17 01:00:44,Delivered
27,648,2124,2025-03-14 12:33:17,Preparing
28,1942,50,2025-01-31 00:53:28,Out for Delivery
29,1541,517,2025-03-15 13:58:47,Preparing
30,722,548,2025-03-12 12:28:31,Preparing
31,2699,1708,2025-01-29 23:51:07,Out for Delivery
32,1482,497,2025-02-25 12:44:29,Preparing
33,1824,1783,2025-02-27 02:12:58,Pending
34,448,317,2025-03-14 12:32:19,Preparing
35,1322,2109,2025-02-04 08:18:43,Pending
36,2210,272,2025-02-14 10:20:55,Pending
37,2835,1563,2025-03-07 00:51:51,Pending
38,185,2492,2025-01-10 18:44:03,Preparing
39,2736,739,2025-01-16 22:14:07,Preparing
40,324,864,2025-02-08 02:16:12,Preparing
41,2036,2144,2025-01-14 05:41:16,Pending
42,959,1626,2025-02-20 06:29:56,Delivered
43,112,1334,2025-01-01 16:52:20,Out for Delivery
44,2219,498,2025-02-04 06:50:58,Preparing
45,2572,1449,2025-01-13 22:47:07,Delivered
46,1661,310,2025-02-05 23:28:26,Delivered
47,1989,2605,2025-01-05 10:17:52,Preparing
48,661,2201,2025-02-16 09:09:20,Out for Delivery
49,98,809,2025-02-25 13:45:55,Pending
50,2620,2229,2025-01-05 05:40:33,Delivered
51,1576,225,2025-02-16 18:37:52,Delivered
52,23,733,2025-03-16 00:12:35,Pending
53,1759,2045,2025-02-28 02:15:37,Pending
54,2337,2852,2025-03-02 03:37:20,Out for Delivery
55,1196,2355,2025-01-12 23:15:56,Preparing
56,2646,584,2025-01-21 08:50:27,Preparing
57,945,2493,2025-02-13 09:20:59,Preparing
58,2501,1842,2025-01-16 17:33:50,Pending
59,851,1830,2025-01-04 17:50:18,Out for Delivery
60,647,87,2025-01-19 06:08:48,Preparing
61,114,2614,2025-01-25 14:42:54,Pending
62,2236,120,2025-01-05 01:57:30,Preparing
63,1598,1960,2025-03-02 02:09:55,Preparing
64,1920,2734,2025-02-07 07:01:09,Pending
65,328,1567,2025-03-16 08:37:10,Preparing
66,1382,925,2025-03-02 06:30:49,Preparing
67,1278,2848,2025-01-04 23:00:30,Pending
68,1550,1140,2025-02-14 01:05:38,Out for Delivery
69,769,840,2025-01-12 06:00:10,Preparing
70,2421,2242,2025-01-08 17:22:34,Delivered
71,2245,1813,2025-02-15 07:27:45,Delivered
72,1632,271,2025-03-03 07:23:54,Out for Delivery
73,2677,1887,2025-02-28 01:37:47,Out for Delivery
74,2787,1664,2025-03-10 19:45:54,Preparing
75,1039,2508,2025-02-13 20:35:28,Out for Delivery
76,2648,2512,2025-03-03 12:33:57,Preparing
77,1496,2886,2025-02-28 19:09:03,Out for Delivery
78,1321,2884,2025-03-02 04:03:46,Preparing
79,1111,1942,2025-02-27 01:19:22,Pending
80,544,1072,2025-03-08 19:49:33,Delivered
81,792,1803,2025-02-12 09:38:36,Out for Delivery
82,622,1356,2025-01-03 06:39:19,Out for Delivery
83,1593,2089,2025-01-23 06:30:54,Pending
84,1449,341,2025-01-12 09:59:24,Pending
85,1770,2367,2025-01-30 16:29:10,Delivered
86,1809,223,2025-02-23 22:07:06,Preparing
87,903,1233,2025-03-06 08:46:42,Preparing
88,2694,2712,2025-02-11 08:07:09,Pending
89,2786,1456,2025-01-06 09:49:56,Delivered
90,1352,2241,2025-01-14 01:01:56,Preparing
91,684,932,2025-02-13 19:27:07,Out for Delivery
92,447,2151,2025-02-17 21:22:18,Pending
93,543,1012,2025-02-12 16:32:24,Delivered
94,1606,1793,2025-01-29 09:21:19,Delivered
95,50,1689,2025-02-14 16:02:52,Pending
96,310,169,2025-01-25 02:39:23,Out for Delivery
97,1955,197,2025-03-07 20:53:45,Pending
98,1291,1842,2025-01-30 18:12:07,Out for Delivery
99,1645,2717,2025-01-09 16:01:01,Preparing
100,1105,1479,2025-01-26 22:46:20,Out for Delivery
101,2930,1670,2025-01-14 06:53:39,Pending
102,305,1153,2025-02-03 22:29:41,Preparing
103,2990,101,2025-01-10 08:16:14,Pending
104,169,860,2025-02-20 12:41:24,Delivered
105,220,842,2025-01-25 12:29:24,Pending
